Rank,Title,Year,Rating,Votes
1,The Godfather,1972,17,2
2,Citizen Kane,1941,2,93
3,Casablanca,1942,8,42
4,"The Godfather, Part II",1974,99,4
5,Singin' in the Rain,1952,52,85
6,Psycho,1960,88,32
7,Rear Window,1954,47,49
8,Apocalypse Now,1979,unranked,55
9,2001: A Space Odyssey,1968,unranked,89
10,Seven Samurai,1954,49,20
11,Vertigo,1958,unranked,99
12,Sunset Blvd,1950,21,60
13,Modern Times,1936,4,45
14,Lawrence of Arabia,1962,unranked,95
15,North by Northwest,1959,79,98
16,Star Wars,1977,unranked,27
17,Parasite,2019,6,35
18,Schindler's List,1993,unranked,6
19,Lord of the Rings: The Fellowship of the Ring,2001,unranked,9
20,Shawshank Redemption,1994,unranked,1
21,It's a Wonderful Life,1946,unranked,21
22,Pulp Fiction,1994,unranked,8
23,Avengers: Endgame,2019,7,81
24,City Lights,1931,unranked,51
25,One Flew Over the Cuckoo's Nest,1975,unranked,18
26,Goodfellas,1990,unranked,17
27,Raiders of the Lost Ark,1981,unranked,56
28,12 Angry Men,1957,unranked,5
29,The Silence of the Lambs,1991,unranked,22
30,Taxi Driver,1976,unranked,unranked
31,Saving Private Ryan,1998,unranked,24
32,E.T. the Extra Terrestrial,1982,48,unranked
33,Alien,1979,84,50
34,Spider-Man: Into the Spider-verse,2018,19,70
35,Blade Runner,1982,unranked,unranked
36,Double Indemnity,1944,54,100
37,The Dark Knight,2008,unranked,3
38,The Wizard of Oz,1939,3,unranked
39,Star Wars: Episode V- The Empire Strikes Back,1980,unranked,15
40,The Searchers,1956,unranked,unranked
41,Mad Max: Fury Road,2015,18,unranked
42,Inception,2010,unranked,13
43,Lord of the Rings: Return of the King,2003,unranked,7
44,The Matrix,1999,unranked,16
45,Fight Club,1999,unranked,12
46,Back to the Future,1985,unranked,30
47,It Happened One Night,1934,1,unranked
48,"The Good, the Bad, and the Ugly",1966,unranked,10
49,Lord of the Rings: The Two Towers,2002,unranked,14
50,All About Eve,1950,22,unranked
51,The General,1926,unranked,unranked
52,Terminator 2: Judgement Day,1991,unranked,29
53,Se7en,1995,unranked,19
54,Raging Bull,1980,unranked,unranked
55,Interstellar,2014,unranked,28
56,Jaws,1975,unranked,unranked
57,Some Like it Hot,1959,unranked,unranked
58,The Philadelphia Story,1940,24,unranked
59,Avengers: Infinity War,2018,unranked,65
60,Gladiator,2000,unranked,38
61,On the Waterfront,1954,unranked,38
62,Get Out,2017,15,unranked
63,Moonlight,2016,20,unranked
64,Spirited Away,2001,unranked,31
65,Lady Bird,2017,12,unranked
66,Aliens,1986,unranked,66
67,Forrest Gump,1994,unranked,11
68,Snow White and the Seven Dwarves,1937,56,unranked
69,Black Panther,2018,5,unranked
70,Whiplash,2014,unranked,43
71,The Shining,1980,unranked,62
72,Metropolis,1927,63,unranked
73,The Maltese Falcon,1941,67,unranked
74,Chinatown,1974,unranked,unranked
75,The Best Years of Our Lives,1946,62,unranked
76,Mulholland Drive,2001,unranked,unranked
77,In the Mood for Love,2000,unranked,unranked
78,A Quiet Place,2018,29,unranked
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,unranked,68
80,Coco,2017,37,76
81,The Third Man,1949,46,unranked
82,The Usual Suspects,1995,unranked,39
83,La Grande Illusion,1937,50,unranked
84,Once Upon a Time in the West,1968,unranked,47
85,A Night at the Opera,1935,40,unranked
86,Logan,2017,34,unranked
87,Thor: Ragnarok,2017,42,unranked
88,Léon: The Professional,1994,unranked,34
89,King Kong,1933,85,unranked
90,Eternal Sunshine of the Spotless Mind,2004,unranked,91
91,Arrival,2016,51,unranked
92,Portrait of a Lady on Fire,2020,36,unranked
93,Nashville,1975,unranked,unranked
94,Intolerance,1916,unranked,unranked
95,La La Land,2016,78,unranked
96,Do the Right Thing,unranked,unranked,47
97,Inglourious Basterds,2009,unranked,78
98,The Battle of Algiers,1966,100,unranked
99,M,1931,unranked,96
100,The Wild Bunch,1969,unranked,unranked
101,Star Wars: Return of the Jedi,1983,unranked,87
102,A Clockwork Orange,1971,unranked,100
103,LA Confidential,1997,90,unranked
104,Titanic,1997,unranked,unranked
105,Toy Story,1995,unranked,75
106,Reservoir Dogs,1992,unranked,90
107,Paddington 2,2018,93,unranked
108,Amelie,2001,unranked,100
